,product_id,price,retail_price,units_sold,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,tags,product_color,merchant_id,merchant_rating_count,merchant_rating,crawl_month,category
0,5e9ae51d43d6a96e303acdb0,16.0,14,100,0,3.76,54,26.0,8.0,10.0,1.0,9.0,"Summer,Fashion,womenunderwearsuit,printedpajamasset,womencasualshort,Women's Fashion,flamingo,loungewearset,Casual,Shirt,casualsleepwear,Shorts,flamingotshirt,Elastic,Vintage,Tops,tshirtandshortsset,Women,Sleepwear,Print,womenpajamasset,womennightwear,Pajamas,womensleepwearset",white,595097d6a26f6e070cb878d1,568,4.128521127,2020-08,Summer
1,58940d436a0d3d5da4e95a38,8.0,22,20000,1,3.45,6135,2269.0,1027.0,1118.0,644.0,1077.0,"Mini,womens dresses,Summer,Patchwork,fashion dress,Dress,Mini dress,Women's Fashion,Women S Clothing,backless,party,summer dresses,sleeveless,sexy,Casual",green,56458aa03a698c35c9050988,17752,3.899673276,2020-08,Summer
2,5ea10e2c617580260d55310a,8.0,43,100,0,3.57,14,5.0,4.0,2.0,0.0,3.0,"Summer,cardigan,women beachwear,chiffon,Sexy women,Coat,summercardigan,openfront,short sleeves,Swimsuit,Women's Fashion,leaf,Green,printed,Spring,longcardigan,Women,Beach,kimono",leopardprint,5d464a1ffdf7bc44ee933c65,295,3.989830508,2020-08,Summer
3,5cedf17ad1d44c52c59e4aca,8.0,8,5000,1,4.03,579,295.0,119.0,87.0,42.0,36.0,"Summer,Shorts,Cotton,Cotton T Shirt,Sleeve,printedletterstop,Clothing,Tops,Necks,short sleeves,Women's Fashion,Women Clothing,printed,Women,tshirtforwomen,Fashion,T Shirts,Shirt",black,58cfdefdacb37b556efdff7c,23832,4.02043471,2020-08,Summer
4,5ebf5819ebac372b070b0e70,2.72,3,100,1,3.1,20,6.0,4.0,2.0,2.0,6.0,"Summer,Plus Size,Lace,Casual pants,Bottom,pants,Loose,Women's Fashion,Shorts,Lace Up,Elastic,Casual,Women",yellow,5ab3b592c3911a095ad5dadb,14482,4.001588178,2020-08,Summer
5,5ec645bafd107a02279c8c54,3.92,9,10,0,5.0,1,1.0,0.0,0.0,0.0,0.0,"Deep V-Neck,Summer,Plus Size,Spaghetti Strap,Overalls,Women's Fashion,sleeveless,Women,Casual,jumpsuit",navyblue,5e4b9c3801ba9d210036fc5a,65,3.507692308,2020-08,Summer
6,5c63a337d5e2ce4bbb3152cf,7.0,6,50000,0,3.84,6742,3172.0,1352.0,971.0,490.0,757.0,"blouse,Women,lace t shirt,summer t-shirts,Lace,Sleeve,Women Blouse,loose shirt,Short Sleeve Blouses,Pure Color,Womens Blouse,Bat,lace shirts,Necks,Women's Fashion,Plus Size,loose t-shirt,Short Sleeve T-Shirt,Fashion,Tops,Shirt",white,5652f4053a698c76dc9a3f37,10194,4.076515597,2020-08,Summer
7,5e0ae5ebc2efb76ccf0a3391,12.0,11,1000,0,3.76,286,120.0,56.0,61.0,18.0,31.0,"Jeans,Fashion,tunic,Shirt,Summer,Dress,Denim,summer dress,denimjeansdres,short sleeves,casual dresses,Women's Fashion,Tunic dress,minishirtdres,Lines,mididre",blue,5d45349676befe65691dcfbb,342,3.68128655,2020-08,Summer
8,5e6f1fb7fe4a5bb4b8bf36e5,11.0,84,100,1,3.47,15,6.0,2.0,3.0,1.0,3.0,"slim dress,summer dress,womenshortsleevedre,Sleeve,Summer,Dress,slim,short sleeves,Women's Fashion,Shorts,boho dress,slimfitdre,Fashion,Casual",black,5d42980e8388970d32294ddc,330,3.803030303,2020-08,Summer
9,5ccfaf238a8d535cec2dfb47,5.78,22,5000,0,3.6,687,287.0,128.0,92.0,68.0,112.0,"blouse,Summer,Plus Size,Floral print,Necks,Sleeve,summer shirt,Loose,short sleeves,Casual,T Shirts,Shorts,Fashion,Floral,Women,Women's Fashion,Tops,printed",beige,5ba2251b4315d12ebce873fa,5534,3.999819299,2020-08,Summer
